createdAt,inputToken,inputStartAmount,inputEndAmount,outputToken,outputStartAmount,outputEndAmount,swapper
"1716501767","0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","402696","402696","0x0000000000000000000000000000000000000000","65351804480031381","55187369982213566","0x24791cac57bf48328d9fe103ce402cfe4c0d8b07"
"1716416139","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","62533760349630811","62533760349630811","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","229243135","218519969","0x250a94c03b9b57c93cc5549760d59d6eacfb136d"
"1716396370","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","250000000","250000000","0xdAC17F958D2ee523a2206206994597C13D831ec7","238362170","218541143","0x32f4b2e69ebd7746596af8699dac1908f43107ad"
"1716536710","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","677725908","677725908","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","186326471868263775","179088974446542410","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716529113","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","566865052560296395","566865052560296395","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2118723398","2095247623","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716557110","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","577443551240233682","577443551240233682","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2139305683","2118882832","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716607510","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","596385953485389466","596385953485389466","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2222369648","2205783159","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716542710","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","663317743","663317743","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","180044383305930495","177015685735544946","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716561908","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2132037948","2132037948","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","571942100300914058","565955591981837170","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716537910","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","689295996","689295996","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","192005412040490649","182414448585454517","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716578708","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","573223983207355629","573223983207355629","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2137974038","2119262453","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716599108","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","607406710715409535","607406710715409535","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2250615451","2234584196","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716641108","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","578301164688269789","578301164688269789","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2152165996","2134644909","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716635109","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","181964652150264770","181964652150264770","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","681495226","673729233","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716618310","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","573672613960460999","573672613960460999","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2146831714","2132262461","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
"1716650708","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2256693637","2256693637","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","600308388840924744","595451725673727978","0xa7152fad7467857dc2d4060fecaadf9f6b8227d3"
